keyword,CS,IT
Adversarial Machine Learning,20,10
AI Ethics,20,10
AI for Code Generation,20,10
AI for Game Development,20,10
AI in Cybersecurity,20,10
AI in Drug Discovery,20,10
AI in Finance,20,10
AI in Healthcare,20,10
AI in Legal Tech,20,10
AI in Robotics,20,10
AI-Augmented Software Engineering,20,10
AI-Based Fraud Detection,20,10
AI-Driven Cybersecurity,20,10
AI-driven Edge Computing,20,10
AI-driven Healthcare Diagnostics,20,10
AI-Generated Content,20,10
AI-powered Chatbots,20,10
AI-Powered Medical Imaging,20,10
AI-powered Recommendation Systems,20,10
AI-Powered Virtual Assistants,20,10
Algorithm,20,10
Algo,20,10
Algorithm Design,20,10
Algorithm Efficiency,20,10
Algorithmic Trading,20,10
Algorithms,20,10
Analytical models,20,10
Analyze,10,10
Anomaly Detection,20,10
Artificial General Intelligence,20,10
Artificial Intelligence (AI),20,10
Augmentation,20,10
Augmented Analytics,20,10
Augmented Reality (AR),20,10
Automata Theory,20,10
Automated Code Review,20,10
Automated Data Labeling,20,10
Automated Machine Learning (AutoML),20,10
Autonomous Systems,20,10
Autonomous Vehicles,20,10
Bayesian Reasoning,20,10
Application,10,20
Big Data,20,10
Big Data Analytics,20,10
big data science projects,20,10
Big O Notation,20,10
Bioinformatics,20,10
Bioinformatics Algorithms,20,10
Bio-Inspired Computing,20,10
Cloud-native AI Applications,20,10
Cluster,20,10
Clustering,20,10
Cognitive Computing,20,10
Compiler Design,20,10
Compiler Optimization,20,10
Computational Complexity,20,10
Computational Geometry,20,10
Computational Linguistics,20,10
Computational modeling,20,10
Computational Neuroscience,20,10
Computational thinking,20,10
Computer Architecture,20,10
Computer Graphics,20,10
Computer Science Education,20,10
Computer Vision,20,10
Computer Vision Applications,20,10
Concurrency,20,10
Convolutional Neural Network,20,10
Cryptography,20,10
Data,10,10
Data Analysis,20,10
Data Analysis tools,20,10
Data Analytics,20,10
Data Cleaning,20,10
Data Engineering,20,10
Data Fusion Techniques,20,10
Data Mining,20,10
Data Modeling,20,10
Data models,20,10
Data Pipelines,20,10
Data Science,20,10
Data Science in Politics,20,10
Data Science Workflow Automation,20,10
Data Structures,20,10
Data visualization,20,10
Data Visualization tools,20,10
decision trees,20,10
Deep Learning,20,10
Deep Learning for Natural Language Processing,20,10
Deepfake Detection,20,10
Distributed Algorithms,20,10
Distributed Computing,20,10
Distributed Systems,20,10
Edge AI,20,10
Edge AI for Smart Cities,20,10
Embedded AI,20,10
Embedded Systems,20,10
Encryption,20,10
Energy-Efficient Computing,20,10
Ethical AI,20,10
Ethical AI Design,20,10
Evolutionary Algorithms,20,10
Explainable AI,20,10
Explainable AI in Finance,20,10
Explainable AI in Healthcare,20,10
Explainable Neural Networks,20,10
Explainable Reinforcement Learning,20,10
Exploratory Data Analysis,20,10
Elbow Method,10,10
Kinect-Based Conversion,20,10
Sign Language,10,10
FSL,10,10
Gesture,20,10
Face recognition,20,10
Facial Recognition,20,10
Facial Recognition Security,20,10
Facial Recognition Technologies,20,10
Federated Learning,20,10
Federated Learning for Healthcare,20,10
Filtering Algorithm,20,10
Formal Methods,20,10
User Friendly,10,10
Kinect Sensor,20,10
Fraud Detection,20,10
Functional Programming,20,10
Translation,10,10
Gesture Translation,20,10
Sensor,20,10
Music,10,10
Genre,10,10
Fuzzy Logic,20,10
Functionalities,10,20
Game Theory,20,10
Genetic Algorithms,20,10
GPU Programming,20,10
Graph Neural Networks,20,10
Graph Theory in Computing,20,10
Graph-Based Machine Learning,20,10
Green AI,20,10
High-Performance Computing,20,10
High-Performance Computing (HPC),20,10
Homomorphic Encryption,20,10
Human-Computer Interaction,20,10
Hybrid AI Models,20,10
Image Classification,20,10
Image Processing,20,10
Information Retrieval,20,10
Interpretable Machine Learning,20,10
Enchancing ai,20,10
K-Means,20,10
K-Means Clustering,20,10
Knowledge engineering,20,10
Knowledge Representation,20,10
Large Language Models,20,10
Learning systems,20,10
LIDAR Processing,20,10
linear regression,20,10
logistic regression,20,10
Low-Power AI Systems,20,10
Machine Ethics,20,10
Machine Learning,20,10
Machine learning algorithm,20,10
machine learning project,20,10
Machine Vision,20,10
